!anime-metadata-db-index	1
!stats	franchises=1	series=502	seasons=594	episodes=8987	characters=727	staff=484	earliest=2006	latest=2026
!franchises	id	file	titles
fate	fate.yaml	フェイト|en=Fate
!series	id	file	franchise	titles
0-saiji-start-dash-monogatari	0-saiji-start-dash-monogatari.yaml		0歳児スタートダッシュ物語|ja-Latn=0-saiji Start Dash Monogatari
2200-nen-neko-no-kuni-nippon	2200-nen-neko-no-kuni-nippon.yaml		2200年ねこの国ニッポン|ja-Latn=2200-nen Neko no Kuni Nippon
29-sai-dokushin-chuuken-boukensha-no-nichijou	29-sai-dokushin-chuuken-boukensha-no-nichijou.yaml		29歳独身中堅冒険者の日常|en=An Adventurer's Daily Grind at Age 29|ja-Latn=29-sai Dokushin Chuuken Boukensha no Nichijou
3-nen-z-gumi-ginpachi-sensei	3-nen-z-gumi-ginpachi-sensei.yaml		3年Z組銀八先生|ja-Latn=3-nen Z-gumi Ginpachi-sensei
9-ruler-s-crown	9-ruler-s-crown.yaml		9-nine- 支配者の王冠|ja-Latn=9: Ruler's Crown
a-rank-party-wo-ridatsu-shita-ore-wa-moto-oshiego-tachi-to	a-rank-party-wo-ridatsu-shita-ore-wa-moto-oshiego-tachi-to.yaml		Aランクパーティを離脱した俺は、元教え子たちと迷宮深部を目指す。|ja-Latn=A-Rank Party wo Ridatsu shita Ore wa, Moto Oshiego-tachi to Meikyuu Shinbu wo Mezasu.
aharen-san-wa-hakarenai	aharen-san-wa-hakarenai.yaml		阿波連さんははかれない|ja-Latn=Aharen-san wa Hakarenai
aikatsu-memorial-stage-kagayaki-no-unit-cup	aikatsu-memorial-stage-kagayaki-no-unit-cup.yaml		アイカツ！メモリアルステージ ～輝きのユニットカップ～|ja-Latn=Aikatsu! Memorial Stage: Kagayaki no Unit Cup
aikatsu-x-pripara-the-movie-deai-no-kiseki	aikatsu-x-pripara-the-movie-deai-no-kiseki.yaml		アイカツ！×プリパラ THE MOVIE -出会いのキセキ|ja-Latn=Aikatsu! x PriPara the Movie: Deai no Kiseki!
aishiteru-game-wo-owarasetai	aishiteru-game-wo-owarasetai.yaml		愛してるゲームを終わらせたい|en=I Want to End This Love Game|ja-Latn=Aishiteru Game wo Owarasetai
akane-banashi	akane-banashi.yaml		あかね噺|ja-Latn=Akane-banashi
akujiki-reijou-to-kyouketsu-koushaku	akujiki-reijou-to-kyouketsu-koushaku.yaml		悪食令嬢と狂血公爵 ～その魔物、私が美味しくいただきます！～|ja-Latn=Akujiki Reijou to Kyouketsu Koushaku
akuyaku-reijou-tensei-ojisan	akuyaku-reijou-tensei-ojisan.yaml		悪役令嬢転生おじさん|ja-Latn=Akuyaku Reijou Tensei Ojisan
akuyaku-reijou-wa-ringoku-no-outaishi-ni-dekiai-sareru	akuyaku-reijou-wa-ringoku-no-outaishi-ni-dekiai-sareru.yaml		悪役令嬢は隣国の王太子に溺愛される|en=The Villainess Is Adored by the Prince of the Neighbor Kingdom|ja-Latn=Akuyaku Reijou wa Ringoku no Outaishi ni Dekiai sareru
aldnoah-zero-re	aldnoah-zero-re.yaml		アルドノア・ゼロ（Re+）|ja-Latn=Aldnoah.Zero (Re+)
alma-chan-wa-kazoku-ni-naritai	alma-chan-wa-kazoku-ni-naritai.yaml		アルマちゃんは家族になりたい|ja-Latn=Alma-chan wa Kazoku ni Naritai
ame-to-kimi-to	ame-to-kimi-to.yaml		雨と君と|ja-Latn=Ame to Kimi to
ameku-takao-no-suiri-karte	ameku-takao-no-suiri-karte.yaml		天久鷹央の推理カルテ|ja-Latn=Ameku Takao no Suiri Karte
anila-to-cocora	anila-to-cocora.yaml		アニラとココラ|ja-Latn=Anila to Cocora
anne-shirley	anne-shirley.yaml		アン・シャーリー|ja-Latn=Anne Shirley
another-world	another-world.yaml		世外|zh-Latn=Another World
ansatsusha-de-aru-ore-no-status-ga-yuusha-yori-mo-akiraka	ansatsusha-de-aru-ore-no-status-ga-yuusha-yori-mo-akiraka.yaml		暗殺者である俺のステータスが勇者よりも明らかに強いのだが|ja-Latn=Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga
ao-no-exorcist	ao-no-exorcist.yaml		青の祓魔師（エクソシスト）|ja-Latn=Ao no Exorcist
ao-no-miburo	ao-no-miburo.yaml		青のミブロ|en=The Blue Wolves of Mibu|ja-Latn=Ao no Miburo
ao-no-orchestra	ao-no-orchestra.yaml		青のオーケストラ|ja-Latn=Ao no Orchestra
apocalypse-hotel	apocalypse-hotel.yaml		アポカリプスホテル|ja-Latn=Apocalypse Hotel
araiguma-calcal-dan	araiguma-calcal-dan.yaml		あらいぐま カルカル団|ja-Latn=Araiguma Calcal-dan
arknights-rise-from-ember	arknights-rise-from-ember.yaml		アークナイツ【焔燼曙明/RISE FROM EMBER】|ja-Latn=Arknights: Rise from Ember
arne-no-jikenbo	arne-no-jikenbo.yaml		アルネの事件簿|en=The Case Book of Arne|ja-Latn=Arne no Jikenbo
around-40-otoko-no-isekai-tsuuhan	around-40-otoko-no-isekai-tsuuhan.yaml		アラフォー男の異世界通販生活|ja-Latn=Around 40 Otoko no Isekai Tsuuhan
aru-majo-ga-shinu-made	aru-majo-ga-shinu-made.yaml		ある魔女が死ぬまで -終わりの言葉と始まりの涙|ja-Latn=Aru Majo ga Shinu Made
as-one	as-one.yaml		アズワン／AS ONE
